Tool,Year Published,Notable Features,Programming language,Package manager,Required expertise,Software,Type of URL
,,,,,,,
Dissect179 ,2012,Detection and characterization of structural alterations in transcribed sequences,C,N/A,+++,http://dissect-trans.sourceforge.net,1
BreakFusion180,2012,Targeted assembly-based identification of gene fusions,"C++, Perl ",N/A,+++,https://bioinformatics.mdanderson.org/public-software/breakfusion/,2
EricScript181,2012,Identification of gene fusion products in paired-end RNA-seq data.,"Perl, R, Shell (Bash)",Anaconda,++,http://ericscript.sourceforge.net,1
Bellerophontes182,2012,Chimeric transcripts discovery based on fusion model.,"Java, Perl, Shell (Bash) ",N/A,+++,http://eda.polito.it/bellerophontes/,2
,,,,,,,
GFML183 ,2012,Standard format for organizing and representing the significant features of gene fusion data.,XML,N/A,+,http://code.google.com/p/gfml-prototype/,1
FusionHunter184,2011,Identifies fusion transcripts from transcriptional analysis.,C++,N/A,+++,https://github.com/ma-compbio/FusionHunter,1
,,,,,,,
ChimeraScan185,2011,Identifying chimeric transcription.,Python,Anaconda,++,https://code.google.com/archive/p/chimerascan/downloads,1
,,,,,,,
TopHat-fusion186,2011,Discovery of novel fusion transcripts.,"C++, Python",N/A,+++,http://ccb.jhu.edu/software/tophat/fusion_index.shtml,2
deFuse187,2011,Fusion discovery in tumor RNA-seq data.,"C++, Perl, R",Anaconda,++,https://github.com/amcpherson/defuse/blob/master/README.md,1
m. Small RNA detection,,,,,,, 
miRTrace188,2018,"Quality control of miRNA-seq data, identifies cross-species contamination.",Java,Anaconda ,+++,https://github.com/friedlanderlab/mirtrace ,1
sRNAbench189,2015,"Expression profiling of small RNAs, prediction of novel microRNAs, analysis of isomiRs, genome mapping and read length statistics.",Web based tool,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/srnabench/,2
sRNAde189,2015,Detection of differentially expressed small RNAs based on  three programs.,Web based tool ,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/srnade/,2
sRNAblast189,2015,Aimed to determine the origin of unmapped or unassigned reads by means of a blast search against several remote databases.,Web based tool,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/srnablast/,2
miRNAconsTarget189,2015,Consensus target prediction on user provided input data.,Web based tool ,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/amirconstarget/,2
sRNAjBrowser189,2015,Visualization of sRNA expression data in a genome context.,Web based tool ,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/srnajbrowser/,2
sRNAjBrowserDE189,2015,Visualization of differential expression as a function of read length in a genome context. ,Web based tool ,N/A,+,https://bioinfo5.ugr.es/srnatoolbox/srnajbrowserde/,2
ShortStack190,2013,Analyzes reference-aligned sRNA-seq data and performs. comprehensive de novo annotation and quantification of the inferred sRNA genes.,Perl,Anaconda,+++,https://github.com/MikeAxtell/ShortStack,1
mirTools 2.0191,2013,"Detect, identify and profile various types, functional annotation and differentially expressed sRNAs.",Web based tool ,N/A,+,http://www.wzgenomics.cn/mr2_dev/,2
UEA sRNA Workbench192,2012,Complete analysis of single or multiple-sample small RNA datasets.,"Web based tool, C++, Java",N/A,+++,https://sourceforge.net/projects/srnaworkbench/,1
miRDeep2193,2011,"Discovers known and novel miRNAs, quantifies miRNA expression.",Perl,Anaconda,+++,https://github.com/rajewsky-lab/mirdeep2,1
miRanalyzer194,2011,Detection of known and prediction of new microRNAs in high-throughput sequencing experiments.,Web based tool,N/A,+,http://bioinfo2.ugr.es/miRanalyzer/miRanalyzer.php,2
SeqBuster195,2010,Provides an automatized pre-analysis for sequence annotation for analysing small RNA data from Illumina sequencing.,Web based tool,Anaconda,+,http://estivill_lab.crg.es/seqbuster,2
DARIO196,2010,"Allows to study short read data  and provides a wide range of analysis features, including quality control, read normalization, and quantification.",Web based tool ,N/A,+,http://dario.bioinf.uni-leipzig.de/index.py,2
n. Visualization tools ,,,,,,,
BEAVR197,2020,"Facilitates interactive analysis and exploration of RNA-seq data, allowing statistical testing and visualization of the table of differentially expressed genes obtained. ",R,Docker Hub,++,https://github.com/developerpiru/BEAVR,1
coseq198,2018,Co-expression analysis of sequencing data,R,"Anaconda, Bioconductor ",++,https://bioconductor.org/packages/release/bioc/html/coseq.html,1
ReadXplorer199,2016,Read mapping analysis and visualization ,Java,N/A,+++,https://www.uni-giessen.de/fbz/fb08/Inst/bioinformatik/software/ReadXplorer,2
Integrated Genome Browser200,2016,An interactive tool for visually analyzing tiling array data and enables quantification of alternative splicing ,Java,N/A,+++,http://www.bioviz.org/,2
Sashimi plots201 ,2015,Quantitative visualization comparison of exon usage,Python,N/A,++,http://miso.readthedocs.org/en/fastmiso/sashimi.html,2
ASTALAVISTA202 ,2015,Reports all alternative splicing events reflected by transcript annotations,Java,Anaconda,++,http://astalavista.sammeth.net/,2
RNASeqBrowser203,2015,Incorporates and extends the functionality of the UCSC genome browser,Java,N/A,+++,http://www.australianprostatecentre.org/research/software/rnaseqbrowser,2
SplicePlot204,2014,Visualizing splicing quantitative trait loci,Python,N/A,+++,http://montgomerylab.stanford.edu/spliceplot/index.html,2
RNASeqViewer205,2014,Compare gene expression and alternative splicing ,Python ,N/A,+++,https://sourceforge.net/projects/rnaseqbrowser/,1
PrimerSeq206 ,2014,Systematic design and visualization of RT-PCR primers using RNA seq data,"Java, C++, Python",N/A,+++,http://primerseq.sourceforge.net/,1
Epiviz207,2014,Combining algorithmic-statistical analysis and interactive visualization,R,"Anaconda, Bioconductor",++,https://epiviz.github.io/,1
RNAbrowse208 ,2014,RNA-seq De Novo Assembly Results Browser,N/A,N/A,N/A,http://bioinfo.genotoul.fr/RNAbrowse,2
ZENBU209,2014,Interactive visualization and analysis of large-scale sequencing datasets,"C++, Javascript ",N/A,+,https://fantom.gsc.riken.jp/zenbu/,2
CummeRbund53,2012,Navigate through data produced from a Cuffdiff RNA-seq differential expression analysis,R,"Anaconda, Bioconductor",++,http://bioconductor.org/packages/devel/bioc/html/cummeRbund.html,1
Splicing Viewer210,2012,Visualization of splice junctions and alternative splicing,Java,N/A,+++,http://bioinformatics.zj.cn/splicingviewer.,2
need to ask aaron if this popular (should it be 1 or 2),,,,,,,
